,make,fuel-type,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-size,bore,stroke,horsepower,peak-rpm,city-mpg,highway-mpg,price
0,alfa-romero,gas,two,convertible,rwd,front,88.6,168.8,64.1,48.8,2548,130,3.47,2.68,111.0,5000.0,21,27,13495.0
1,alfa-romero,gas,two,convertible,rwd,front,88.6,168.8,64.1,48.8,2548,130,3.47,2.68,111.0,5000.0,21,27,16500.0
2,alfa-romero,gas,two,hatchback,rwd,front,94.5,171.2,65.5,52.4,2823,152,2.68,3.47,154.0,5000.0,19,26,16500.0
3,audi,gas,four,sedan,fwd,front,99.8,176.6,66.2,54.3,2337,109,3.19,3.4,102.0,5500.0,24,30,13950.0
4,audi,gas,four,sedan,4wd,front,99.4,176.6,66.4,54.3,2824,136,3.19,3.4,115.0,5500.0,18,22,17450.0
5,audi,gas,two,sedan,fwd,front,99.8,177.3,66.3,53.1,2507,136,3.19,3.4,110.0,5500.0,19,25,15250.0
6,audi,gas,four,sedan,fwd,front,105.8,192.7,71.4,55.7,2844,136,3.19,3.4,110.0,5500.0,19,25,17710.0
7,audi,gas,four,wagon,fwd,front,105.8,192.7,71.4,55.7,2954,136,3.19,3.4,110.0,5500.0,19,25,18920.0
8,audi,gas,four,sedan,fwd,front,105.8,192.7,71.4,55.9,3086,131,3.13,3.4,140.0,5500.0,17,20,23875.0
9,bmw,gas,two,sedan,rwd,front,101.2,176.8,64.8,54.3,2395,108,3.5,2.8,101.0,5800.0,23,29,16430.0
10,bmw,gas,four,sedan,rwd,front,101.2,176.8,64.8,54.3,2395,108,3.5,2.8,101.0,5800.0,23,29,16925.0
11,bmw,gas,two,sedan,rwd,front,101.2,176.8,64.8,54.3,2710,164,3.31,3.19,121.0,4250.0,21,28,20970.0
12,bmw,gas,four,sedan,rwd,front,101.2,176.8,64.8,54.3,2765,164,3.31,3.19,121.0,4250.0,21,28,21105.0
13,bmw,gas,four,sedan,rwd,front,103.5,189.0,66.9,55.7,3055,164,3.31,3.19,121.0,4250.0,20,25,24565.0
14,bmw,gas,four,sedan,rwd,front,103.5,189.0,66.9,55.7,3230,209,3.62,3.39,182.0,5400.0,16,22,30760.0
15,bmw,gas,two,sedan,rwd,front,103.5,193.8,67.9,53.7,3380,209,3.62,3.39,182.0,5400.0,16,22,41315.0
16,bmw,gas,four,sedan,rwd,front,110.0,197.0,70.9,56.3,3505,209,3.62,3.39,182.0,5400.0,15,20,36880.0
17,chevrolet,gas,two,hatchback,fwd,front,88.4,141.1,60.3,53.2,1488,61,2.91,3.03,48.0,5100.0,47,53,5151.0
18,chevrolet,gas,two,hatchback,fwd,front,94.5,155.9,63.6,52.0,1874,90,3.03,3.11,70.0,5400.0,38,43,6295.0
19,chevrolet,gas,four,sedan,fwd,front,94.5,158.8,63.6,52.0,1909,90,3.03,3.11,70.0,5400.0,38,43,6575.0
20,dodge,gas,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,1876,90,2.97,3.23,68.0,5500.0,37,41,5572.0
21,dodge,gas,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,1876,90,2.97,3.23,68.0,5500.0,31,38,6377.0
22,dodge,gas,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,2128,98,3.03,3.39,102.0,5500.0,24,30,7957.0
23,dodge,gas,four,hatchback,fwd,front,93.7,157.3,63.8,50.6,1967,90,2.97,3.23,68.0,5500.0,31,38,6229.0
24,dodge,gas,four,sedan,fwd,front,93.7,157.3,63.8,50.6,1989,90,2.97,3.23,68.0,5500.0,31,38,6692.0
25,dodge,gas,four,sedan,fwd,front,93.7,157.3,63.8,50.6,1989,90,2.97,3.23,68.0,5500.0,31,38,7609.0
26,dodge,gas,four,sedan,fwd,front,93.7,157.3,63.8,50.6,2191,98,3.03,3.39,102.0,5500.0,24,30,8558.0
27,dodge,gas,four,wagon,fwd,front,103.3,174.6,64.6,59.8,2535,122,3.34,3.46,88.0,5000.0,24,30,8921.0
28,dodge,gas,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2811,156,3.6,3.9,145.0,5000.0,19,24,12964.0
29,honda,gas,two,hatchback,fwd,front,86.6,144.6,63.9,50.8,1713,92,2.91,3.41,58.0,4800.0,49,54,6479.0
30,honda,gas,two,hatchback,fwd,front,86.6,144.6,63.9,50.8,1819,92,2.91,3.41,76.0,6000.0,31,38,6855.0
31,honda,gas,two,hatchback,fwd,front,93.7,150.0,64.0,52.6,1837,79,2.91,3.07,60.0,5500.0,38,42,5399.0
